time,sleeptime,HPA_CtrlReq,VCU_CrntGearLvl,KP_Dist,KP_Psi,PreTime,err0_Dist,err0_Psi,VehSpd,SasAng,Dir,Dir_LatCtrl,PathPoint0_Vmax,PathPoint0_Curv,PathPoint0_X,PathPoint0_Y,PathPoint0_Yaw,VehPos_Curv,VehPos_X,VehPos_Y,VehPos_Yaw,PredX,PredY,PredYaw,DesPos_Curv,DesPos_X,DesPos_Y,DesPos_Yaw,errDist0,errPsi0,errDist,errPsi,steerDist,steerPsi,steerFF,CTRL_OffTrack,CTRL_GearReq,CTRL_SpdLimit,CTRL_StopDist,CTRL_SteerAng
64.7026,0.0000,1,0,-18.00,-26.00,0.40,0.00,0.00,0.00,-1.40,0,1,2.00,0.00,-0.44,-0.07,0.00,0.00,-0.24,-0.07,0.00,-0.24,-0.07,0.00,0.02,-0.24,-0.07,0.00,-0.07,0.00,0.00,0.00,-0.04,-0.06,0.00,0,4,2.00,0.00,-0.02
64.7708,-48158.0000,1,0,-18.00,-26.00,0.40,0.00,0.00,0.00,-1.40,0,1,2.00,0.02,-0.24,-0.07,0.00,0.00,-0.24,-0.07,0.00,-0.24,-0.07,0.00,0.02,-0.24,-0.07,0.00,-0.07,0.00,0.00,0.00,-0.07,-0.10,0.00,0,4,2.00,40.00,-0.05
64.8303,-39549.0000,1,0,-18.00,-26.00,0.40,0.00,0.00,0.00,-1.40,0,1,2.00,0.02,-0.24,-0.07,0.00,0.00,-0.24,-0.07,0.00,-0.24,-0.07,0.00,0.02,-0.24,-0.07,0.00,-0.07,0.00,0.00,0.00,-0.09,-0.13,0.00,0,4,2.00,40.00,-0.08
64.8908,-40411.0000,1,0,-18.00,-26.00,0.40,0.00,0.00,0.00,-1.40,0,1,2.00,0.02,-0.24,-0.07,0.00,0.00,-0.24,-0.07,0.00,-0.24,-0.07,0.00,0.02,-0.24,-0.07,0.00,-0.07,0.00,0.00,0.00,-0.09,-0.14,0.00,0,4,2.00,40.00,-0.12
64.9503,-39601.0000,1,0,-18.00,-26.00,0.40,0.00,0.00,0.00,-1.40,0,1,2.00,0.02,-0.24,-0.07,0.00,0.00,-0.24,-0.07,0.00,-0.24,-0.07,0.00,0.02,-0.24,-0.07,0.00,-0.07,0.00,0.00,0.00,-0.10,-0.15,0.00,0,4,2.00,40.00,-0.14
65.0030,-32720.0000,1,0,-18.00,-26.00,0.40,0.00,0.00,0.00,-1.40,0,1,2.00,0.02,-0.24,-0.07,0.00,0.00,-0.24,-0.07,0.00,-0.24,-0.07,0.00,0.02,-0.24,-0.07,0.00,-0.07,0.00,0.00,0.00,-0.10,-0.15,0.00,0,4,2.00,40.00,-0.16
65.0802,-57120.0000,1,0,-18.00,-26.00,0.40,0.00,0.00,0.00,-1.40,0,1,2.00,0.02,-0.24,-0.07,0.00,0.00,-0.24,-0.07,0.00,-0.24,-0.07,0.00,0.02,-0.24,-0.07,0.00,-0.07,0.00,0.00,0.00,-0.10,-0.16,0.00,0,4,2.00,40.00,-0.18
65.1413,-40547.0000,1,0,-18.00,-26.00,0.40,0.00,0.00,0.00,-1.40,0,1,2.00,0.02,-0.24,-0.07,0.00,0.00,-0.23,-0.07,0.00,-0.23,-0.07,0.00,0.02,-0.23,-0.07,0.00,-0.07,0.00,0.00,0.00,-0.11,-0.29,0.00,0,4,2.00,40.00,-0.23
65.2006,-39745.0000,1,0,-18.00,-26.00,0.40,0.00,0.00,0.00,-1.40,0,1,2.00,0.02,-0.14,-0.07,0.01,0.00,-0.23,-0.07,0.00,-0.23,-0.07,0.00,0.02,-0.14,-0.07,0.01,-0.07,0.01,0.00,0.00,-0.08,-1.30,0.00,0,4,2.00,40.00,-0.46
65.2602,-39729.0000,1,0,-18.00,-26.00,0.40,0.00,0.00,0.00,-1.40,0,1,2.00,0.02,-0.14,-0.07,0.01,0.00,-0.23,-0.07,0.00,-0.23,-0.07,0.00,0.02,-0.14,-0.07,0.01,-0.07,0.01,0.00,0.00,-0.06,-2.00,0.00,0,4,2.00,40.00,-0.78
