time,sleeptime,HPA_CtrlReq,VCU_CrntGearLvl,KP_Dist,KP_Psi,PreTime,err0_Dist,err0_Psi,VehSpd,SasAng,Dir,Dir_LatCtrl,PathPoint0_Vmax,PathPoint0_Curv,PathPoint0_X,PathPoint0_Y,PathPoint0_Yaw,VehPos_Curv,VehPos_X,VehPos_Y,VehPos_Yaw,PredX,PredY,PredYaw,DesPos_Curv,DesPos_X,DesPos_Y,DesPos_Yaw,errDist0,errPsi0,errDist,errPsi,steerDist,steerPsi,steerFF,CTRL_OffTrack,CTRL_GearReq,CTRL_SpdLimit,CTRL_StopDist,CTRL_SteerAng
13.0257,0.0000,1,0,-18.00,-26.00,0.40,0.00,0.00,0.00,-1.20,0,1,2.00,0.00,-0.38,-0.05,-0.01,0.00,-0.18,-0.05,-0.01,-0.18,-0.05,-0.01,0.02,-0.18,-0.05,-0.01,-0.05,-0.01,0.00,0.00,-0.04,-0.06,0.00,0,4,2.00,0.00,-0.02
13.0909,-45230.0000,1,0,-18.00,-26.00,0.40,0.00,0.00,0.00,-1.20,0,1,2.00,0.02,-0.08,-0.05,-0.01,0.00,-0.18,-0.05,-0.01,-0.18,-0.05,-0.01,0.02,-0.08,-0.05,-0.01,-0.05,-0.01,-0.00,0.00,-0.03,-1.38,0.00,0,4,2.00,40.00,-0.30
13.1511,-40211.0000,1,0,-18.00,-26.00,0.40,0.00,0.00,0.00,-1.20,0,1,2.00,0.02,-0.08,-0.05,-0.01,0.00,-0.18,-0.05,-0.01,-0.18,-0.05,-0.01,0.02,-0.08,-0.05,-0.01,-0.05,-0.01,-0.00,0.00,-0.01,-2.30,0.00,0,4,2.00,40.00,-0.70
13.2232,-51848.0000,1,0,-18.00,-26.00,0.40,0.00,0.00,0.00,-1.20,0,1,2.00,0.02,-0.08,-0.05,-0.01,0.00,-0.18,-0.05,-0.01,-0.18,-0.05,-0.01,0.02,-0.08,-0.05,-0.01,-0.05,-0.01,-0.00,0.00,-0.00,-2.80,0.00,0,4,2.00,40.00,-1.12
13.2910,-47963.0000,1,0,-18.00,-26.00,0.40,0.00,0.00,0.00,-1.20,0,1,2.00,0.02,-0.08,-0.05,-0.01,0.00,-0.21,-0.06,-0.01,-0.21,-0.06,-0.01,0.02,-0.08,-0.05,-0.01,-0.05,-0.01,0.01,0.00,-5.03,-3.53,0.00,0,4,2.00,40.00,-2.61
13.3414,-30530.0000,1,0,-18.00,-26.00,0.40,0.00,0.00,0.00,-1.20,0,1,2.00,0.02,-0.18,-0.05,-0.01,0.00,-0.21,-0.06,-0.01,-0.21,-0.06,-0.01,0.02,-0.18,-0.05,-0.01,-0.05,-0.01,0.01,0.00,-8.62,-2.72,0.00,0,4,2.00,40.00,-4.36
13.4011,-39629.0000,1,0,-18.00,-26.00,0.40,0.00,0.00,0.00,-1.20,0,1,2.00,0.02,-0.18,-0.05,-0.01,0.00,-0.21,-0.06,-0.01,-0.21,-0.06,-0.01,0.02,-0.18,-0.05,-0.01,-0.05,-0.01,0.01,0.00,-10.63,-2.08,0.00,0,4,2.00,40.00,-6.02
13.4610,-39900.0000,1,0,-18.00,-26.00,0.40,0.00,0.00,0.00,-1.40,0,1,2.00,0.02,-0.18,-0.05,-0.01,0.00,-0.21,-0.06,-0.01,-0.21,-0.06,-0.01,0.02,-0.18,-0.05,-0.01,-0.05,-0.01,0.01,0.00,-11.67,-1.71,0.00,0,4,2.00,40.00,-7.50
13.5219,-40854.0000,1,0,-18.00,-26.00,0.40,0.00,0.00,0.00,-2.30,0,1,2.00,0.02,-0.18,-0.05,-0.01,0.00,-0.21,-0.06,-0.01,-0.21,-0.06,-0.01,0.02,-0.18,-0.05,-0.01,-0.05,-0.01,0.01,0.00,-12.20,-1.51,0.00,0,4,2.00,40.00,-8.74
13.5811,-39134.0000,1,0,-18.00,-26.00,0.40,0.00,0.00,0.00,-3.70,0,1,2.00,0.02,-0.18,-0.05,-0.01,0.00,-0.21,-0.06,-0.01,-0.21,-0.06,-0.01,0.02,-0.18,-0.05,-0.01,-0.05,-0.01,0.01,0.00,-12.47,-1.42,0.00,0,4,2.00,40.00,-9.77
