time	sleeptime	HPA_CtrlReq	VCU_CrntGearLvl	KP_Dist	KP_Psi	PreTime	err0_Dist	err0_Psi	VehSpd	SasAng	Dir	Dir_LatCtrl	PathPoint0_Vmax	PathPoint0_Curv	PathPoint0_X	PathPoint0_Y	PathPoint0_Yaw	VehPos_Curv	VehPos_X	VehPos_Y	VehPos_Yaw	PredX	PredY	PredYaw	DesPos_Curv	DesPos_X	DesPos_Y	DesPos_Yaw	errDist0	errPsi0	errDist	errPsi	steerDist	steerPsi	steerFF	CTRL_OffTrack	CTRL_GearReq	CTRL_SpdLimit	CTRL_StopDist	CTRL_SteerAng
64.7026	0	1	0	-18	-26	0.4	0	0	0	-1.4	0	1	2	0	-0.44	-0.07	0	0	-0.24	-0.07	0	-0.24	-0.07	0	0.02	-0.24	-0.07	0	-0.07	0	0	0	-0.04	-0.06	0	0	4	2	0	-0.02
64.7708	-48158	1	0	-18	-26	0.4	0	0	0	-1.4	0	1	2	0.02	-0.24	-0.07	0	0	-0.24	-0.07	0	-0.24	-0.07	0	0.02	-0.24	-0.07	0	-0.07	0	0	0	-0.07	-0.1	0	0	4	2	40	-0.05
64.8303	-39549	1	0	-18	-26	0.4	0	0	0	-1.4	0	1	2	0.02	-0.24	-0.07	0	0	-0.24	-0.07	0	-0.24	-0.07	0	0.02	-0.24	-0.07	0	-0.07	0	0	0	-0.09	-0.13	0	0	4	2	40	-0.08
64.8908	-40411	1	0	-18	-26	0.4	0	0	0	-1.4	0	1	2	0.02	-0.24	-0.07	0	0	-0.24	-0.07	0	-0.24	-0.07	0	0.02	-0.24	-0.07	0	-0.07	0	0	0	-0.09	-0.14	0	0	4	2	40	-0.12
64.9503	-39601	1	0	-18	-26	0.4	0	0	0	-1.4	0	1	2	0.02	-0.24	-0.07	0	0	-0.24	-0.07	0	-0.24	-0.07	0	0.02	-0.24	-0.07	0	-0.07	0	0	0	-0.1	-0.15	0	0	4	2	40	-0.14
65.003	-32720	1	0	-18	-26	0.4	0	0	0	-1.4	0	1	2	0.02	-0.24	-0.07	0	0	-0.24	-0.07	0	-0.24	-0.07	0	0.02	-0.24	-0.07	0	-0.07	0	0	0	-0.1	-0.15	0	0	4	2	40	-0.16
65.0802	-57120	1	0	-18	-26	0.4	0	0	0	-1.4	0	1	2	0.02	-0.24	-0.07	0	0	-0.24	-0.07	0	-0.24	-0.07	0	0.02	-0.24	-0.07	0	-0.07	0	0	0	-0.1	-0.16	0	0	4	2	40	-0.18
65.1413	-40547	1	0	-18	-26	0.4	0	0	0	-1.4	0	1	2	0.02	-0.24	-0.07	0	0	-0.23	-0.07	0	-0.23	-0.07	0	0.02	-0.23	-0.07	0	-0.07	0	0	0	-0.11	-0.29	0	0	4	2	40	-0.23
65.2006	-39745	1	0	-18	-26	0.4	0	0	0	-1.4	0	1	2	0.02	-0.14	-0.07	0.01	0	-0.23	-0.07	0	-0.23	-0.07	0	0.02	-0.14	-0.07	0.01	-0.07	0.01	0	0	-0.08	-1.3	0	0	4	2	40	-0.46
65.2602	-39729	1	0	-18	-26	0.4	0	0	0	-1.4	0	1	2	0.02	-0.14	-0.07	0.01	0	-0.23	-0.07	0	-0.23	-0.07	0	0.02	-0.14	-0.07	0.01	-0.07	0.01	0	0	-0.06	-2	0	0	4	2	40	-0.78
